<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURCHF,20251105,055500,0.92973,0.9298,0.92972,0.92979,52770000
EURCHF,20251105,055600,0.92978,0.92988,0.92971,0.92973,92630000
EURCHF,20251105,055700,0.92974,0.92974,0.9296,0.92967,75430000
EURCHF,20251105,055800,0.92967,0.92973,0.92964,0.92967,57960000
EURCHF,20251105,055900,0.9297,0.9297,0.92962,0.92967,71900000
EURCHF,20251105,060000,0.92967,0.9299,0.92957,0.92987,196770000
EURCHF,20251105,060100,0.92988,0.92989,0.92962,0.92962,129470000
EURCHF,20251105,060200,0.92962,0.92972,0.92962,0.92968,75630000
EURCHF,20251105,060300,0.92968,0.92969,0.92963,0.92964,56940000
EURCHF,20251105,060400,0.92963,0.92966,0.92959,0.92961,58390000
EURCHF,20251105,060500,0.92962,0.92962,0.92956,0.92956,50850000
EURCHF,20251105,060600,0.92954,0.92955,0.92936,0.92945,84250000
EURCHF,20251105,060700,0.92944,0.92944,0.92935,0.92936,63210000
EURCHF,20251105,060800,0.92937,0.92942,0.92937,0.92938,38350000
EURCHF,20251105,060900,0.92938,0.92941,0.92938,0.92938,20230000
EURCHF,20251105,061000,0.92937,0.92938,0.92933,0.92936,27420000
EURCHF,20251105,061100,0.92937,0.92943,0.92937,0.92943,28530000
EURCHF,20251105,061200,0.92943,0.92958,0.92943,0.92958,34770000
EURCHF,20251105,061300,0.9296,0.92961,0.92957,0.92961,20800000
EURCHF,20251105,061400,0.9296,0.9297,0.9296,0.92964,35010000
EURCHF,20251105,061500,0.92959,0.92959,0.92942,0.92948,39580000
EURCHF,20251105,061600,0.92949,0.92951,0.92946,0.92946,41660000
EURCHF,20251105,061700,0.92946,0.92957,0.92946,0.92955,66960000
EURCHF,20251105,061800,0.92957,0.92963,0.92951,0.92951,36160000
EURCHF,20251105,061900,0.92951,0.92959,0.92948,0.92951,24780000
EURCHF,20251105,062000,0.92952,0.92955,0.92947,0.92951,51570000
EURCHF,20251105,062100,0.92952,0.92978,0.92952,0.92978,77390000
EURCHF,20251105,062200,0.92978,0.92986,0.92975,0.92983,41140000
EURCHF,20251105,062300,0.92982,0.92982,0.92978,0.92981,16640000
EURCHF,20251105,062400,0.92981,0.92982,0.9297,0.9297,18140000
EURCHF,20251105,062500,0.9297,0.92974,0.92966,0.92973,26460000
EURCHF,20251105,062600,0.92972,0.92972,0.92969,0.92969,4940000
EURCHF,20251105,062700,0.92968,0.92968,0.92961,0.92962,16320000
EURCHF,20251105,062800,0.92963,0.92964,0.92957,0.92959,14080000
EURCHF,20251105,062900,0.9296,0.92968,0.92957,0.92958,28260000
EURCHF,20251105,063000,0.92957,0.92957,0.92942,0.92943,58920000
EURCHF,20251105,063100,0.92945,0.92945,0.92941,0.92943,20530000
EURCHF,20251105,063200,0.92943,0.92945,0.92937,0.92941,43820000
EURCHF,20251105,063300,0.92941,0.92948,0.92937,0.92946,100530000
EURCHF,20251105,063400,0.92947,0.92951,0.92944,0.92948,63920000
EURCHF,20251105,063500,0.92947,0.92949,0.92945,0.92947,56170000
EURCHF,20251105,063600,0.92947,0.9295,0.92945,0.92948,64910000
EURCHF,20251105,063700,0.92948,0.92949,0.92941,0.92943,63030000
EURCHF,20251105,063800,0.92943,0.92943,0.92939,0.92943,30390000
EURCHF,20251105,063900,0.92942,0.92946,0.9294,0.92944,56060000
EURCHF,20251105,064000,0.92944,0.92947,0.92943,0.92946,32790000
EURCHF,20251105,064100,0.92946,0.92947,0.92946,0.92946,10500000
EURCHF,20251105,064200,0.92946,0.92952,0.92945,0.92951,49160000
EURCHF,20251105,064300,0.92952,0.92952,0.92951,0.92952,9220000
EURCHF,20251105,064400,0.92952,0.92953,0.92951,0.92951,24130000
EURCHF,20251105,064500,0.9295,0.92951,0.92949,0.9295,23670000
EURCHF,20251105,064600,0.9295,0.92954,0.92949,0.92952,40700000
EURCHF,20251105,064700,0.92953,0.92953,0.92943,0.92943,45620000
EURCHF,20251105,064800,0.92943,0.92951,0.92943,0.92951,26400000
EURCHF,20251105,064900,0.9295,0.92954,0.92948,0.92954,43030000
EURCHF,20251105,065000,0.92954,0.92957,0.92954,0.92954,28000000
EURCHF,20251105,065100,0.92953,0.92961,0.92953,0.92961,21740000
EURCHF,20251105,065200,0.9296,0.92963,0.92957,0.92963,31630000
EURCHF,20251105,065300,0.92964,0.92965,0.92962,0.92962,12820000
EURCHF,20251105,065400,0.92962,0.92965,0.92961,0.92963,40870000
EURCHF,20251105,065500,0.92963,0.92963,0.92956,0.92957,61810000
EURCHF,20251105,065600,0.92957,0.92957,0.92954,0.92956,32440000
EURCHF,20251105,065700,0.92956,0.92956,0.92947,0.92947,28260000
EURCHF,20251105,065800,0.92946,0.92954,0.92946,0.92954,21820000
EURCHF,20251105,065900,0.92955,0.92955,0.92946,0.92947,20610000
EURCHF,20251105,070000,0.92948,0.92953,0.92947,0.92952,50790000
EURCHF,20251105,070100,0.92951,0.92956,0.92951,0.92955,11320000
EURCHF,20251105,070200,0.92954,0.92966,0.92953,0.92963,75340000
EURCHF,20251105,070300,0.92963,0.92966,0.92962,0.92962,64620000
EURCHF,20251105,070400,0.92962,0.92962,0.92951,0.92952,57640000
EURCHF,20251105,070500,0.92951,0.92952,0.92949,0.92952,28700000
EURCHF,20251105,070600,0.9295,0.9295,0.92942,0.92943,41880000
EURCHF,20251105,070700,0.92943,0.92943,0.92925,0.92934,97510000
EURCHF,20251105,070800,0.92932,0.92933,0.9292,0.9293,110120000
EURCHF,20251105,070900,0.92932,0.92932,0.92928,0.9293,44400000
EURCHF,20251105,071000,0.92931,0.92936,0.92928,0.92935,70050000
EURCHF,20251105,071100,0.92935,0.92942,0.92929,0.92929,47520000
EURCHF,20251105,071200,0.92931,0.92937,0.92929,0.92937,46920000
EURCHF,20251105,071300,0.92937,0.92939,0.92936,0.92939,43700000
EURCHF,20251105,071400,0.92939,0.92942,0.92939,0.92941,22200000
EURCHF,20251105,071500,0.9294,0.92949,0.9294,0.92949,49260000
EURCHF,20251105,071600,0.92947,0.92952,0.92947,0.92952,55980000
EURCHF,20251105,071700,0.92953,0.92964,0.92952,0.92962,37600000
EURCHF,20251105,071800,0.92963,0.92966,0.9296,0.9296,43020000
EURCHF,20251105,071900,0.92959,0.92961,0.92949,0.92949,49680000
EURCHF,20251105,072000,0.92949,0.92955,0.92948,0.92955,32920000
EURCHF,20251105,072100,0.92956,0.92961,0.92956,0.9296,41030000
EURCHF,20251105,072200,0.92959,0.9296,0.92956,0.92959,45850000
EURCHF,20251105,072300,0.9296,0.92968,0.9296,0.92965,41110000
EURCHF,20251105,072400,0.92965,0.92965,0.9296,0.92964,45660000
EURCHF,20251105,072500,0.92961,0.92965,0.92961,0.92965,32940000
EURCHF,20251105,072600,0.92965,0.92965,0.9296,0.92962,21110000
EURCHF,20251105,072700,0.92963,0.92971,0.9296,0.9297,57400000
EURCHF,20251105,072800,0.92971,0.92971,0.92961,0.92961,46230000
EURCHF,20251105,072900,0.92961,0.92964,0.9296,0.92961,31580000
EURCHF,20251105,073000,0.9296,0.92964,0.92957,0.92963,63760000
EURCHF,20251105,073100,0.92963,0.92968,0.9296,0.92966,45170000
EURCHF,20251105,073200,0.92965,0.92965,0.92958,0.9296,42560000
EURCHF,20251105,073300,0.92961,0.92967,0.9296,0.92964,62460000
EURCHF,20251105,073400,0.92964,0.92971,0.92963,0.92967,79180000
EURCHF,20251105,073500,0.92967,0.92969,0.92964,0.92965,52620000
EURCHF,20251105,073600,0.92965,0.92969,0.92965,0.92967,32020000
EURCHF,20251105,073700,0.92964,0.9297,0.92964,0.92969,45520000
EURCHF,20251105,073800,0.9297,0.92978,0.9297,0.92978,37050000
EURCHF,20251105,073900,0.92977,0.92977,0.92963,0.92968,75640000
EURCHF,20251105,074000,0.92969,0.92973,0.92968,0.92971,36440000
EURCHF,20251105,074100,0.92972,0.92979,0.92972,0.92977,34800000
EURCHF,20251105,074200,0.92977,0.92982,0.92977,0.92982,17100000
EURCHF,20251105,074300,0.92982,0.92983,0.92975,0.92979,35840000
EURCHF,20251105,074400,0.9298,0.92982,0.92978,0.92979,30740000
EURCHF,20251105,074500,0.92981,0.92984,0.92979,0.92981,25940000
EURCHF,20251105,074600,0.92982,0.92983,0.92978,0.92981,32920000
EURCHF,20251105,074700,0.92982,0.92983,0.92977,0.92983,39000000
EURCHF,20251105,074800,0.92982,0.92984,0.92979,0.92982,33000000
EURCHF,20251105,074900,0.92981,0.92987,0.92981,0.92985,26920000
EURCHF,20251105,075000,0.92988,0.92988,0.92984,0.92984,35920000
EURCHF,20251105,075100,0.92985,0.9299,0.92985,0.92986,28120000
EURCHF,20251105,075200,0.92987,0.92993,0.92987,0.92991,21300000
EURCHF,20251105,075300,0.92992,0.92997,0.92991,0.92996,26400000
EURCHF,20251105,075400,0.92996,0.92997,0.92994,0.92996,25340000
EURCHF,20251105,075500,0.92998,0.93005,0.92998,0.93004,54570000
EURCHF,20251105,075600,0.93003,0.93003,0.92992,0.92994,39080000
EURCHF,20251105,075700,0.92995,0.92997,0.92985,0.92985,50530000
EURCHF,20251105,075800,0.92984,0.92995,0.92981,0.92991,50840000
EURCHF,20251105,075900,0.92992,0.92994,0.92984,0.92984,70200000
EURCHF,20251105,080000,0.92985,0.92994,0.92973,0.92981,170360000
EURCHF,20251105,080100,0.92982,0.92998,0.92982,0.92998,79420000
EURCHF,20251105,080200,0.92998,0.93011,0.92997,0.93011,86610000
EURCHF,20251105,080300,0.93012,0.93012,0.93005,0.93007,64680000
EURCHF,20251105,080400,0.93009,0.93009,0.92996,0.92996,92530000
EURCHF,20251105,080500,0.92996,0.93005,0.92989,0.92999,92960000
EURCHF,20251105,080600,0.93002,0.9301,0.92999,0.93008,130240000
EURCHF,20251105,080700,0.93008,0.93015,0.93006,0.93009,91880000
EURCHF,20251105,080800,0.93009,0.93025,0.93009,0.93022,94980000
EURCHF,20251105,080900,0.93022,0.93028,0.93018,0.93021,117190000
EURCHF,20251105,081000,0.93022,0.93023,0.93004,0.93006,120170000
EURCHF,20251105,081100,0.93006,0.93009,0.93004,0.93004,82470000
EURCHF,20251105,081200,0.93004,0.93012,0.93004,0.93012,55930000
EURCHF,20251105,081300,0.93009,0.93016,0.93007,0.93016,71670000
EURCHF,20251105,081400,0.93016,0.93024,0.93015,0.9302,63640000
EURCHF,20251105,081500,0.9302,0.93025,0.93017,0.93019,115550000
EURCHF,20251105,081600,0.93018,0.93026,0.93016,0.93016,45490000
EURCHF,20251105,081700,0.93016,0.93017,0.93009,0.93015,64590000
EURCHF,20251105,081800,0.93016,0.93019,0.93013,0.93016,72210000
EURCHF,20251105,081900,0.93017,0.93025,0.93012,0.9302,115020000
EURCHF,20251105,082000,0.93022,0.93025,0.93019,0.93025,67480000
EURCHF,20251105,082100,0.93025,0.93025,0.93017,0.9302,38380000
EURCHF,20251105,082200,0.93019,0.9302,0.93005,0.93006,59730000
EURCHF,20251105,082300,0.93007,0.93008,0.93004,0.93004,56950000
EURCHF,20251105,082400,0.93005,0.93017,0.93004,0.93016,73160000
EURCHF,20251105,082500,0.93016,0.93018,0.93011,0.93017,56110000
EURCHF,20251105,082600,0.93017,0.9302,0.93017,0.93017,58210000
EURCHF,20251105,082700,0.93017,0.93019,0.93016,0.93019,38840000
EURCHF,20251105,082800,0.9302,0.93024,0.93016,0.93018,85460000
